Data;ABEV3;BBAS3;BBDC4;BBSE3;BRFS3;BRML3;BVMF3;CCRO3;CIEL3;CMIG4;EQTL3;FIBR3;GGBR4;GOAU4;HYPE3;ITUB4;JBSS3;KROT3;LAME4;LREN3;PETR4;RADL3;UGPA3;USIM5;VIVT4;IBOV;CDI 252 dias;SMB;HML;WML;Rm_minus_Rf
10/03/2014;14.53074312;15.54304327;15.46069273;18.19712632;41.67811468;11.3234978;8.605549219;13.30593946;17.4095549;8.387420725;16.99627774;21.34907752;12.9283201;15.95348686;13.25977164;18.72989844;6.713563861;9.612809292;9.244929333;9.664864141;12.23112838;15.78979919;47.64607447;8.526491582;35.03730209;45533;10.55;-0.2086829;-1.3416396;-0.0468403;-1.3980534
11/03/2014;14.53944938;15.40891549;15.53518829;17.98970621;41.63062367;11.36134793;8.46854545;13.60013269;17.80741328;8.531805119;17.52566999;21.26871713;13.06091826;15.97261574;13.51012471;18.93221812;6.806807803;9.90083354;9.348804943;9.744139641;12.32514167;16.04770879;47.26057358;8.575382015;35.94436675;45697;10.55;-1.1147054;-1.2399427;0.5702807;0.4649465
12/03/2014;14.5568619;15.43669216;15.63260555;17.85408536;41.54513984;11.3234978;8.477108186;13.61694373;17.64358924;8.715567075;17.92503608;21.54551404;13.2219303;16.3169356;13.57271298;18.69924394;6.881402957;9.968339224;9.387758297;9.774500471;12.52256957;15.47457634;47.13207328;8.330929848;35.18722377;45861;10.55;-1.0334315;0.1044328;0.657822;0.1485334
13/03/2014;14.45238681;15.34046343;15.31170163;17.7503753;41.13671711;11.05223852;8.459982714;13.53288852;17.54477474;9.004335864;18.35226492;21.66159016;13.13668863;15.94392242;13.81412487;18.44787705;6.90937614;9.923335435;9.498126134;9.720525663;12.32514167;15.23577115;46.45285742;8.389598368;34.70902821;45443;10.55;-0.1235499;0.3080549;1.1839451;-0.7697055
14/03/2014;14.24343664;15.10791067;15.11113667;17.84610767;41.60212906;11.03962181;8.382918095;13.50767196;17.43555871;8.466175849;17.61854583;21.54551404;13.39241365;16.28824228;13.68000715;17.95740508;6.713563861;9.923335435;9.498126134;9.747513067;12.01489783;15.28353218;45.93885623;8.829612269;34.46993042;44965;10.55;-0.5412445;-3.60E-03;0.4323703;-0.9416929
17/03/2014;14.51333061;14.99564382;15.4320406;17.87004076;41.69711109;11.22887247;8.596986483;13.60853821;17.68033333;8.525242192;17.54424516;21.62587443;13.26928679;16.17346899;13.68000715;18.33138996;6.713563861;10.0808487;9.673416226;9.825101854;11.81746993;15.66562049;46.38860727;8.712275229;34.58947931;45117;10.55;-1.0393502;-1.4662581;0.2058404;0.2795311
18/03/2014;14.6178057;15.19612034;15.61541427;18.58005577;42.13402843;11.54429023;8.802492136;14.12127498;18.29219206;8.827136835;17.88788575;21.8669556;13.45871272;16.45083777;14.20753684;18.67472034;7.123837208;10.55338848;9.900644124;10.03931438;12.19352307;16.21009632;47.65525306;9.074064436;35.46617119;46150;10.55;-0.0228379;0.7485118;-0.426509;1.9194804
19/03/2014;14.60039318;15.89377863;15.77013581;19.01085139;41.62112547;11.35503957;8.913807698;14.12127498;18.47495505;8.853388543;17.67427133;22.17946824;13.47765532;16.44127333;14.28800747;18.76055293;7.291676304;10.62177378;9.887659673;10.0592469;12.54137222;16.69725891;48.32529032;9.426075556;35.60962986;46567;10.59;0.414969;1.6847244;0.2464197;0.6785679
20/03/2014;14.59168692;16.75983721;16.21710913;18.91511903;41.52614344;11.28564766;8.982309582;13.91113696;18.60739201;9.096216842;17.89717333;22.41162049;13.40188494;16.19259787;14.28800747;19.15293051;7.338298275;10.99387413;9.920120801;10.1048939;13.15245857;17.19397371;48.27939736;9.289182342;36.49429165;47278;10.59;0.300434;0.4859142;0.0189831;1.3131293
21/03/2014;14.50462435;16.57539881;16.188457;18.55612268;41.79209312;11.27303095;8.862431285;13.87751488;18.61268949;9.12246855;18.04577467;22.80449351;13.73338033;16.5751755;14.39530164;19.22650131;7.15181039;10.89013706;9.952581929;10.15899405;13.18066256;17.12710825;48.66489825;9.338072776;36.61384055;47380;10.59;-0.2522413;-0.1814326;0.2015462;0.2354724
24/03/2014;14.59168692;16.67162754;16.64116075;18.81938667;41.76359851;11.34873122;8.913807698;14.16330258;18.66566427;9.142157331;18.11078775;22.90271177;13.67655255;16.42214445;14.38636046;19.78441318;7.338298275;10.93524014;10.16197167;10.32974766;13.53791304;17.33121572;48.87600588;9.484744076;36.4783518;47993;10.59;-0.6150662;-0.0532742;0.5984848;0.9532993
25/03/2014;14.57427441;16.71172284;16.54374349;19.10658375;41.93456617;11.49382339;8.922370434;14.18851915;18.89875331;9.371859777;18.11078775;22.34018903;13.65760996;16.59430438;14.68141944;19.89476937;6.9746469;10.89239222;10.29250438;10.27902876;13.61312367;17.35990979;49.16054226;9.729196243;36.41459239;48180;10.59;-0.2572225;0.2912849;0.7669383;0.2414942
26/03/2014;14.4959181;16.92823749;16.91049083;18.89916364;42.27650147;11.19733069;8.819617607;14.1296805;18.70009788;9.352170996;18.16651325;21.78659521;13.44924143;16.3169356;14.38636046;20.06643456;6.825456592;10.71197992;10.21418475;10.14377839;13.53791304;17.50338011;49.01368477;9.650971549;36.79714885;47965;10.59;-1.0510193;-0.9335723;1.0166858;-0.1707418
27/03/2014;14.84416838;18.05090601;17.55229868;19.26613769;44.16664387;11.60737379;9.204940707;14.3734406;18.84577852;10.03471541;18.48229109;22.00088959;13.8091507;16.35519336;14.93177251;20.50172844;7.170459179;11.03897721;10.50788335;10.51571693;14.63786848;17.79032077;50.02332997;10.16921014;37.41880308;49646;10.55;-0.2941925;0.8251095;-0.4004862;2.6709681
28/03/2014;14.75710581;17.81835324;17.59241167;19.26613769;42.93187748;12.01741688;9.376195417;14.54995654;18.911997;10.01502662;18.68661793;22.38483369;13.69549514;16.41258001;14.83341952;20.37911044;7.170459179;11.18330704;10.7363156;10.61546408;14.72248043;18.20160238;50.225259;10.09098545;37.85714902;49768;10.55;0.4423614;0.216064;-1.0783022;0.1461286
31/03/2014;14.75710581;18.28345877;17.87320261;20.03199658;43.02685951;12.35175971;9.633077484;14.64241727;19.15303226;10.0084637;18.99310818;22.52769661;13.75232292;16.65169102;14.67247826;20.78374982;7.235729939;11.2532168;10.9190614;10.85722413;14.83529638;18.7754837;50.39965226;10.00298267;38.2795551;50414;10.55;-0.363532;0.641029;-0.3461974;1.0588995
01/04/2014;14.88769967;18.26742065;18.06803714;20.18357282;43.16933255;12.01110853;9.299130797;14.24735779;19.28282047;9.87064223;18.79806893;22.41162049;13.34505716;16.35519336;14.37741928;20.94629058;7.039917659;11.04799782;10.89295486;10.74395194;14.86350036;18.5172371;51.08804671;9.719418156;37.42677301;50270;10.55;0.6196014;-0.1477288;0.4423704;-0.1993574
02/04/2014;15.06182481;19.02923143;18.52143956;20.33514906;44.02417082;12.30129287;9.650202955;14.45749581;19.46823221;10.2775437;19.13242193;23.06343255;13.61972477;16.75689987;14.61883117;21.62098808;7.384920247;11.23066527;11.29107963;10.87074917;15.5686;18.31637864;52.04262035;10.01276076;37.33910382;51701;10.55;-0.713509;0.9127579;0.4593554;2.2222577
03/04/2014;15.07059698;18.73252618;18.4239583;20.17559512;43.81521036;12.02372524;9.641640219;14.70966144;19.52120699;10.19878858;19.07669643;22.76877778;13.56289699;16.72820655;14.39530164;21.36950992;7.226405544;11.02995659;11.33023944;10.80312398;15.4;18.65114274;50.8494033;9.836755196;36.66963003;51408;10.8;0.4958744;0.142531;0.1775038;-0.5053233
